SPECIES_NR;NAME_SCIENTIFIC;NAME_NL
1607;Dryopteris affinis;Geschubde mannetjesvaren
1607;Dryopteris paleacea;Geschubde mannetjesvaren
1607;Dryopteris pseudomas;Geschubde mannetjesvaren
1616;Dactylorchis maculata;Gevlekte orchis
1616;Dactylorhiza maculata;Gevlekte orchis
1616;Orchis maculata;Gevlekte orchis
1634;Rubus fruticosus agg.;Gewone braam
1642;Epilobium tetragonum;Kantige basterdwederik
1643;Rosa canina;Hondsroos
1643;Rosa sepium;Hondsroos
1645;Rosa eglanteria;Egelantier
1645;Rosa rubiginosa;Egelantier
1733;Senecio inaequidens;Bezemkruiskruid
1850;Acer platanoides;Noorse esdoorn
1851;Aesculus hippocastanum;Witte paardenkastanje
1852;Amelanchier canadensis;Amerikaans krentenboompje
1852;Amelanchier laevis;Amerikaans krentenboompje
1852;Amelanchier lamarckii;Amerikaans krentenboompje
1862;Impatiens glandulifera;Reuzenbalsemien
1862;Impatiens roylei;Reuzenbalsemien
1876;Quercus rubra;Amerikaanse eik
1877;Robinia pseudoacacia;Robinia
1884;Sambucus nigra cv. laciniata;Peterselievlier
1895;Ulmus glabra;Ruwe iep
1895;Ulmus montana;Ruwe iep
1895;Ulmus scabra;Ruwe iep
1904;Asparagus officinalis;Asperge
1921;Festuca rubra;Rood zwenkgras
1931;Lotus corniculatus;Gewone en Smalle rolklaver
1933;Luzula multiflora;Veelbloemige veldbies
1934;Malus sylvestris;Wilde appel
1934;Pyrus malus;Wilde appel
1960;Vicia sativa;Voederwikke, vergeten wikke en smalle wikke
1966;Viola reichenbachiana + Viola riviniana;Donkersporig + Bleeksporig bosviooltje
2105;Rhododendron ponticum;Pontische rododendron
2107;Symphoricarpos albus;Sneeuwbes
2203;Abies grandis;Reuzenzilverspar
2222;Galeopsis bifida + Galeopsis tetrahit;Gespleten + Gewone hennepnetel
2229;Larix decidua;Europese lork
2230;Larix kaempferi;Japanse lork
2238;Picea abies;Zilverspar
2247;Pinus nigra var. maritima;Corsicaanse den
2248;Pinus pinaster;Zeeden
2249;Pinus strobus;Weymouthden
2254;Populus x canadensis;Canadapopulier
2259;Pseudotsuga menziesii;Douglasspar
2280;Tsuga heterophylla;Westelijke hemlockspar
2290;Senecio jacobaea;Jakobskruiskruid
2314;Cerastium fontanum;Gewone hoornbloem
2314;Cerastium vulgatum;Gewone hoornbloem
2320;Plantago major;Grote weegbree
2323;Solanum nigrum;Zwarte nachtschade
2334;Arenaria serpyllifolia;Zandmuur
2338;Caltha palustris;Dotterbloem
2343;Juncus bulbosus;Knolrus
2343;Juncus supinus;Knolrus
2348;Narcissus pseudonarcissus;Wilde narcis
2358;Sedum telephium;Hemelsleutel
2376;Galium palustre;Moeraswalstro
2385;Phleum pratense;Gewoon timoteegras
2396;Lamium purpureum;Paarse dovenetel
2402;Ficaria ranunculoides;Speenkruid
2402;Ficaria verna;Speenkruid
2402;Ranunculus ficaria;Speenkruid
2406;Scrophularia alata;Gevleugeld helmkruid
2406;Scrophularia ehrhartii;Gevleugeld helmkruid
2406;Scrophularia umbrosa;Gevleugeld helmkruid
2417;Hieracium murorum;Muurhavikskruid
2420;Equisetum hyemale;Schaafstro
2435;Phyteuma spicatum;Witte rapunzel
2448;Lathraea clandestina;Paarse schubwortel
5123;Quercus palustris;Moeraseik
5180;Larix x eurolepis;Europese x Japanse lork
5191;Ulmus x hollandica;Hollandse iep
5207;Dryopteris carthusiana + Dryopteris dilatata;Smalle + Brede stekelvaren
6001;Acer species;Esdoorn species
6013;Agrostis species;Struisgras species
6048;Arctium species;Klit species
6077;Betula species;Berk species
6094;Calamagrostis species;Struisriet species
6097;Callitriche species;Sterrenkroos species
6103;Cardamine species;Veldkers species
6105;Carduus species;Distel species
6106;Carex species;Zegge species
6132;Cirsium species;Vederdistel species
6153;Crataegus species;Meidoorn species
6181;Dryopteris species;Niervaren species
6192;Epilobium species;Basterdwederik species
6193;Epipactis species;Wespenorchis species
6194;Equisetum species;Paardenstaart species
6225;Galium species;Walstro species
6251;Hieracium species;Havikskruid species
6258;Holcus species;Witbol species
6268;Hypericum species;Hertshooi species
6279;Juncus species;Rus species
6311;Lotus species;Rolklaver species
6315;Luzula species;Veldbies species
6322;Lysimachia species;Wederik species
6352;Myosotis species;Vergeet-mij-nietje species
6359;Narcissus species;Narcis species
6380;Ornithogalum species;Vogelmelk species
6411;Pinus species;Den species
6414;Poa species;Beemdgras species
6417;Polygonum species;Duizendknoop species
6420;Populus species;Populier species
6426;Prunus species;Kers species
6435;Quercus species;Eik species
6450;Rosa species;Roos species
6452;Rubus species;Braam species
6454;Rumex species;Zuring species
6459;Salix species;Wilg species
6483;Senecio species;Kruiskruid species
6498;Sonchus species;Melkdistel species
6508;Stellaria species;Muur species
6517;Taraxacum species;Paardenbloem species
6527;Tilia species;Linde species
6532;Trifolium species;Klaver species
6541;Ulmus species;Iep species
6551;Veronica species;Ereprijs species
6553;Vicia species;Wikke species
6566;Larix species;Lork species
6622;Tsuga species;Hemlockspar species
6654;Chamaecyparis species;Chamaecyparis species
9340;Salix aurita x caprea;Geoorde x Boswilg
10095;Tamus communis;Spekwortel
10099;Festuca altissima;Boszwenkgras
10099;Festuca silvatica;Boszwenkgras
